64960 0.51
36.72 6.12 -1.000000002
37.230000000000004 6.12 -1.000000002
37.74 6.12 -1.000000002
38.25 6.12 -1.000000002
38.76 6.12 -1.000000002
39.27 6.12 -1.000000002
39.78 6.12 -1.000000002
40.29 6.12 -1.000000002
40.8 6.12 -1.000000002
41.31 6.12 -1.000000002
41.82 6.12 -1.000000002
42.33 6.12 -1.000000002
0.0 6.63 -1.000000002
0.51 6.63 -1.000000002
1.02 6.63 -1.000000002
1.53 6.63 -1.000000002
2.04 6.63 -1.000000002
2.55 6.63 -1.000000002
3.06 6.63 -1.000000002
3.5700000000000003 6.63 -1.000000002
4.08 6.63 -1.000000002
4.59 6.63 -1.000000002
5.1 6.63 -1.000000002
5.61 6.63 -1.000000002
6.12 6.63 -1.000000002
6.63 6.63 -1.000000002
7.140000000000001 6.63 -1.000000002
7.65 6.63 -1.000000002
8.16 6.63 -1.000000002
8.67 6.63 -1.000000002
9.18 6.63 -1.000000002
9.69 6.63 -1.000000002
10.2 6.63 -1.000000002
10.71 6.63 -1.000000002
11.22 6.63 -1.000000002
11.73 6.63 -1.000000002
12.24 6.63 -1.000000002
12.75 6.63 -1.000000002
13.26 6.63 -1.000000002
13.77 6.63 -1.000000002
14.280000000000001 6.63 -1.000000002
14.781736433681042 6.63 -1.0043685312369475
27.038299576195303 6.63 -1.0044217382795502
27.54 6.63 -1.000000002
28.05 6.63 -1.000000002
28.560000000000002 6.63 -1.000000002
29.07 6.63 -1.000000002
29.580000000000002 6.63 -1.000000002
30.09 6.63 -1.000000002
30.6 6.63 -1.000000002
31.11 6.63 -1.000000002
31.62 6.63 -1.000000002
32.13 6.63 -1.000000002
32.64 6.63 -1.000000002
33.15 6.63 -1.000000002
33.660000000000004 6.63 -1.000000002
34.17 6.63 -1.000000002
34.68 6.63 -1.000000002
35.19 6.63 -1.000000002
35.7 6.63 -1.000000002
36.21 6.63 -1.000000002
36.72 6.63 -1.000000002
37.230000000000004 6.63 -1.000000002
37.74 6.63 -1.000000002
38.25 6.63 -1.000000002
38.76 6.63 -1.000000002
39.27 6.63 -1.000000002
39.78 6.63 -1.000000002
40.29 6.63 -1.000000002
40.8 6.63 -1.000000002
41.31 6.63 -1.000000002
41.82 6.63 -1.000000002
42.33 6.63 -1.000000002
0.0 7.140000000000001 -1.000000002
0.51 7.140000000000001 -1.000000002
1.02 7.140000000000001 -1.000000002
1.53 7.140000000000001 -1.000000002
2.04 7.140000000000001 -1.000000002
2.55 7.140000000000001 -1.000000002
3.06 7.140000000000001 -1.000000002
3.5700000000000003 7.140000000000001 -1.000000002
4.08 7.140000000000001 -1.000000002
4.59 7.140000000000001 -1.000000002
5.1 7.140000000000001 -1.000000002
5.61 7.140000000000001 -1.000000002
