28919 0.5
-20 -3.5 -30
-19.5 -3.5 -30
-19 -3.5 -30
-18.5 -3.5 -30
-18 -3.5 -30
-17.5 -3.5 -30
-17 -3.5 -30
-16.5 -3.5 -30
-16 -3.5 -30
-15.5 -3.5 -30
-15 -3.5 -30
-14.5 -3.5 -30
-14 -3.5 -30
-13.5 -3.5 -30
-13 -3.5 -30
-12.5 -3.5 -30
-12 -3.5 -30
-11.5 -3.5 -30
-11 -3.5 -30
-10.5 -3.5 -30
-10 -3.5 -30
-9.5 -3.5 -30
-9 -3.5 -30
-8.5 -3.5 -30
-8 -3.5 -30
-7.5 -3.5 -30
-7 -3.5 -30
-6.5 -3.5 -30
-6 -3.5 -30
-5.5 -3.5 -30
-5 -3.5 -30
-4.5 -3.5 -30
-4 -3.5 -30
-3.5 -3.5 -30
-3 -3.5 -30
-2.5 -3.5 -30
-2 -3.5 -30
-1.5 -3.5 -30
-1 -3.5 -30
-0.5 -3.5 -30
0 -3.5 -30
0.5 -3.5 -30
1 -3.5 -30
1.5 -3.5 -30
2 -3.5 -30
2.5 -3.5 -30
3 -3.5 -30
3.5 -3.5 -30
4 -3.5 -30
4.5 -3.5 -30
5 -3.5 -30
5.5 -3.5 -30
6 -3.5 -30
6.5 -3.5 -30
7 -3.5 -30
7.5 -3.5 -30
8 -3.5 -30
8.5 -3.5 -30
9 -3.5 -30
9.5 -3.5 -30
10 -3.5 -30
10.5 -3.5 -30
11 -3.5 -30
11.5 -3.5 -30
12 -3.5 -30
12.5 -3.5 -30
13 -3.5 -30
13.5 -3.5 -30
14 -3.5 -30
14.5 -3.5 -30
15 -3.5 -30
15.5 -3.5 -30
16 -3.5 -30
16.5 -3.5 -30
17 -3.5 -30
17.5 -3.5 -30
18 -3.5 -30
18.5 -3.5 -30
19 -3.5 -30
19.5 -3.5 -30
20 -3.5 -30
20.5 -3.5 -30
21 -3.5 -30
21.5 -3.5 -30
22 -3.5 -30
22.5 -3.5 -30
23 -3.5 -30
23.5 -3.5 -30
24 -3.5 -30
24.5 -3.5 -30
25 -3.5 -30
25.5 -3.5 -30
26 -3.5 -30
26.5 -3.5 -30
27 -3.5 -30
27.5 -3.5 -30
28 -3.5 -30
28.5 -3.5 -30
29 -3.5 -30
29.5 -3.5 -30
30 -3.5 -30
-30 -3 -30
-29.5 -3 -30
-29 -3 -30
-28.5 -3 -30
-28 -3 -30
-27.5 -3 -30
-27 -3 -30
-26.5 -3 -30
-26 -3 -30
-25.5 -3 -30
-25 -3 -30
-24.5 -3 -30
-24 -3 -30
-23.5 -3 -30
